,f_preferred_name,Fe,Mg,Si,Unnamed: 4
5848,BD+35 03293 ,-0.02,-0.08,0.0,
5849,2MASS 19085824+4218049 ,-0.05,-0.03,-0.02,
5850,HIP 16329 ,0.05,0.07,0.0,
5851,HIP 114638 ,0.32,0.32,0.29,
5852,HIP 16335 ,-0.25,0.0,-0.04,
5853,HIP 49103 ,0.07,0.17,0.14,
5855,HIP 81880 ,0.16,0.17,0.15,
5859,HIP 16365 ,-0.44,-0.17,-0.27,
5860,HIP 81901 ,-0.18,-0.1,-0.18,
5861,HIP 114670 ,0.17,0.17,0.13,
5862,HIP 81910 ,0.26,0.15,0.2,
5864,HIP 16385 ,0.02,0.32,0.19,
5865,HIP 16391 ,-0.01,0.12,-0.02,
5866,HIP 49161 ,0.33,0.37,0.38,
5868,HIP 49163 ,0.01,0.07,0.05,
5869,HIP 114699 ,-0.11,0.03,-0.06,
5871,HIP 49166 ,-0.45,-0.41,-0.56,
5872,HIP 81934 ,-0.01,-0.01,0.05,
5874,HIP 114702 ,-0.3,-0.25,-0.34,
5875,HIP 114703 ,-0.55,-0.49,-0.43,
5877,HIP 16405 ,0.3,0.21,0.2,
5878,HIP 114709 ,-0.25,-0.18,-0.28,
5879,HIP 81947 ,-0.06,0.17,-0.03,
5880,HIP 81952 ,0.23,0.25,0.24,
5883,HIP 114729 ,-0.3,-0.22,-0.19,
5884,HIP 49196 ,0.03,0.08,0.02,
5885,HIP 114742 ,0.37,0.58,0.63,
5886,HIP 114743 ,-0.1,0.03,-0.05,
5888,HIP 114761 ,-0.66,-0.49,-0.62,
5889,HIP 16460 ,0.24,0.28,0.27,
5890,HIP 16467 ,0.02,0.09,0.04,
5892,2MASS 19214099+3751064 ,-0.11,-0.09,-0.1,
5894,HIP 49246 ,-0.29,-0.2,-0.15,
5895,HIP 49250 ,0.19,0.03,-0.07,
5896,HIP 114790 ,-0.36,-0.28,-0.33,
5897,2MASS 19240686+4354492 ,-0.11,-0.08,-0.11,
5899,HIP 16492 ,-0.5,-0.16,-0.33,
5900,HIP 114796 ,0.17,0.11,0.12,
5901,HIP 82032 ,-0.5,-0.33,-0.41,
5902,HIP 16498 ,0.12,0.1,0.12,
5903,HIP 49266 ,0.15,0.12,0.12,
5905,HIP 114809 ,-0.3,0.07,-0.08,
5906,HIP 16509 ,0.1,0.36,0.35,
5907,HIP 16517 ,0.26,0.18,0.2,
5908,HIP 49285 ,-0.16,0.01,-0.08,
5909,2MASS 19064452+4705535 ,0.18,0.06,0.1,
5910,HIP 16522 ,-0.36,-0.26,-0.21,
5912,HIP 82062 ,-0.51,-0.36,-0.49,
5913,HIP 114830 ,0.07,0.09,0.03,
5914,HIP 16529 ,0.19,0.2,0.17,
5915,HIP 82065 ,-0.12,0.14,-0.09,
5916,HIP 16531 ,0.02,0.06,0.11,
5917,HIP 82068 ,-0.05,0.0,-0.12,
5918,HIP 114834 ,0.06,0.13,0.03,
5919,HIP 114838 ,-0.55,-0.42,-0.37,
5921,HIP 16537 ,-0.05,-0.02,-0.08,
5922,HIP 114842 ,-0.02,0.19,0.12,
5923,HIP 82075 ,-0.46,-0.35,-0.41,
5925,HIP 16544 ,-0.04,-0.03,-0.07,
5926,HIP 82080 ,-0.14,-0.11,-0.25,
5928,HIP 114855 ,0.07,0.11,0.15,
5929,HIP 114856 ,-0.46,-0.42,-0.33,
5931,HIP 16563 ,0.17,-0.19,-0.01,
5934,HIP 49338 ,-0.04,0.06,0.08,
5936,HD 204752 ,-0.64,-0.38,-0.42,
5937,HIP 16581 ,0.24,0.2,0.21,
5938,HIP 49350 ,0.1,-0.01,0.01,
5939,HIP 114886 ,0.0,0.0,-0.02,
5942,HIP 49359 ,-0.03,-0.04,-0.01,
5943,HIP 49363 ,0.09,0.07,0.1,
5944,HIP 49366 ,-0.04,-0.11,-0.04,
5945,2MASS 01522555-4932031 ,-0.1,-0.06,-0.08,
5946,HIP 49371 ,-1.69,-1.46,-1.33,
5947,HIP 82141 ,-0.17,0.13,0.08,
5948,HIP 82145 ,-0.34,-0.43,-0.46,
5949,HIP 114914 ,0.14,0.11,0.1,
5950,HIP 114921 ,-0.13,0.1,0.01,
5952,HIP 114924 ,0.08,0.08,0.08,
5953,HIP 82158 ,-0.44,-0.27,-0.36,
5954,HIP 114933 ,0.26,0.16,0.02,
5955,HIP 82166 ,-0.23,-0.37,-0.35,
5956,HIP 16631 ,-0.55,-0.16,-0.3,
5957,HIP 82175 ,-0.14,-0.03,-0.11,
5958,HIP 16641 ,-0.21,-0.06,-0.18,
5959,HIP 114948 ,0.04,0.06,0.05,
5960,HIP 49413 ,-0.16,-0.12,-0.03,
5961,HIP 114950 ,0.3,0.26,0.31,
5963,HIP 49418 ,0.08,0.35,0.21,
5964,HIP 16658 ,0.06,-0.11,-0.22,
5965,HIP 114967 ,0.17,0.22,0.12,
5966,HIP 114971 ,-0.57,-0.12,-0.26,
5967,HIP 82204 ,-0.26,-0.19,-0.17,
5968,HIP 114980 ,0.19,0.0,0.13,
5969,HIP 82214 ,-0.1,-0.11,-0.14,
5970,HIP 82219 ,0.07,0.05,0.08,
5971,2MASS 19455215+4235555 ,0.11,0.04,0.09,
5973,HIP 16691 ,-0.71,-0.47,-0.55,
5974,HIP 114996 ,-0.3,-0.24,-0.27,
5975,HIP 16693 ,-0.18,-0.16,-0.17,
5976,HIP 49462 ,0.11,0.35,0.28,
5978,HIP 82232 ,-0.12,0.03,-0.01,
5979,HIP 82233 ,0.0,-0.05,-0.02,
5981,HIP 49477 ,0.15,0.13,0.25,
5982,2MASS 22352275-0728114 ,0.15,0.12,0.08,
5983,HD 3290 ,-0.06,-0.05,-0.12,
5984,2MASS 19071403+4918590 ,-0.02,-0.05,-0.02,
5985,HIP 82255 ,-0.41,-0.33,-0.36,
5986,HIP 16723 ,-0.29,-0.18,-0.13,
5988,HIP 16727 ,0.17,0.2,0.14,
5989,HIP 82265 ,0.1,0.19,0.12,
5990,HIP 16730 ,-0.12,0.04,0.15,
5992,HIP 16732 ,-0.21,-0.03,-0.1,
5993,HIP 82268 ,0.12,0.08,0.08,
5995,HIP 16738 ,0.36,0.69,0.58,
5996,HIP 49520 ,-0.14,-0.04,-0.2,
6000,HIP 49530 ,0.09,0.22,0.14,
6001,HIP 115066 ,0.16,0.2,0.12,
6003,2MASS 06434947-0103468 ,0.07,0.07,0.05,
6005,HIP 16780 ,-0.21,-0.05,-0.1,
6006,HIP 82316 ,-0.09,-0.06,0.01,
6007,HIP 115088 ,0.14,0.22,0.13,
6008,HIP 16788 ,-0.26,-0.18,-0.3,
6009,HIP 16792 ,0.08,0.11,0.07,
6010,HIP 82332 ,-0.47,-0.38,-0.38,
6011,HIP 115100 ,0.19,0.22,0.19,
6012,HIP 115102 ,-0.04,0.2,0.09,
6013,HIP 82336 ,-0.34,-0.23,-0.24,
6015,HIP 16806 ,0.08,-0.08,0.2,
6018,HIP 16815 ,0.17,0.16,0.26,
6019,2MASS 19493945+4603389 ,-0.06,-0.09,-0.11,
6020,HIP 16818 ,-0.43,-0.34,-0.32,
6022,HIP 115125 ,0.24,0.3,0.22,
6023,HIP 115126 ,0.11,0.26,0.2,
6024,HIP 82359 ,-0.08,-0.04,-0.1,
6025,HIP 115129 ,-0.03,0.02,0.09,
6026,HIP 82363 ,-0.26,-0.05,-0.19,
6028,HIP 49599 ,0.11,0.09,0.1,
6029,HD 152791 ,-0.66,-0.43,-0.53,
6030,HIP 82369 ,0.04,0.06,0.08,
6031,HIP 82370 ,-0.01,-0.02,-0.09,
6032,HIP 82373 ,-0.17,-0.12,0.01,
6033,HIP 82375 ,-0.44,-0.02,-0.04,
6034,HIP 115147 ,0.01,-0.15,0.02,
6035,2MASS 18570575+4132060 ,0.09,0.11,0.08,
6036,HIP 49615 ,-0.39,-0.25,-0.33,
6039,HIP 16852 ,0.0,0.02,-0.03,
6041,HIP 82389 ,0.08,-0.01,0.12,
6042,HIP 16860 ,0.03,0.12,0.07,
6043,HIP 82396 ,0.06,0.33,0.19,
6045,HIP 115167 ,-1.73,-1.41,-1.5,
6046,HIP 115171 ,0.06,0.24,0.28,
6047,HIP 16870 ,0.06,0.12,0.15,
6049,HIP 82426 ,-0.13,0.04,0.02,
6050,HIP 16896 ,-0.21,-0.08,-0.17,
6051,HIP 82434 ,-0.22,-0.02,-0.26,
6052,2MASS 14474655+0103538 ,-0.25,-0.21,-0.63,
6053,HIP 49668 ,-0.18,-0.1,-0.13,
6054,HIP 82441 ,-0.13,0.03,0.03,
6055,HIP 16908 ,0.17,0.03,0.18,
6056,2MASS 14080592+3955441 ,-1.66,-1.18,-1.28,
6057,HIP 49680 ,0.32,0.24,0.26,
6058,HIP 115220 ,-0.21,-0.18,-0.08,
6059,HIP 115223 ,-0.17,-0.12,-0.13,
6060,HIP 115227 ,-0.63,-0.17,-0.31,
6061,HIP 82464 ,-0.09,0.03,-0.12,
6062,HIP 16930 ,-0.13,-0.04,-0.07,
6063,HIP 49698 ,0.11,0.03,0.2,
6064,HIP 49699 ,0.08,0.1,0.1,
6065,HIP 82466 ,0.29,0.23,0.35,
6066,HIP 82469 ,-0.02,-0.1,-0.04,
6067,2MASS 19103302+4612158 ,-0.13,-0.15,-0.16,
6068,HIP 82478 ,-0.26,-0.13,-0.18,
6069,HIP 49728 ,-0.06,0.0,-0.09,
6070,HIP 49732 ,-0.47,-0.48,-0.39,
6072,HIP 49738 ,-0.33,-0.32,-0.25,
6073,HIP 115279 ,-0.23,-0.13,-0.21,
6074,HIP 115280 ,0.07,0.14,0.1,
6075,HIP 16977 ,0.05,-0.01,-0.14,
6076,HIP 82513 ,-0.21,-0.1,-0.09,
6077,HIP 82515 ,-0.35,-0.22,-0.32,
6078,HD 181654 ,-0.12,0.12,0.07,
6079,HIP 115286 ,-0.04,0.09,-0.05,
6080,2MASS 19214232+4826361 ,-0.04,-0.06,-0.07,
6081,HIP 49756 ,0.06,0.08,0.03,
6082,HIP 16989 ,-0.02,0.29,0.18,
6085,HIP 49769 ,-0.13,-0.06,-0.1,
6087,HIP 115308 ,-0.03,-0.21,-0.34,
6089,HIP 17022 ,-0.24,-0.16,-0.12,
6090,HIP 49793 ,-0.62,-0.33,-0.45,
6091,HIP 17027 ,0.1,0.15,0.04,
6092,HIP 115331 ,0.01,0.08,-0.01,
6093,2MASS 19415676+5100486 ,0.19,0.07,0.15,
6095,HIP 82568 ,-0.03,-0.07,-0.04,
6096,HIP 115340 ,-1.66,0.37,0.39,
6097,HIP 115341 ,0.2,0.14,0.26,
6099,HIP 49811 ,0.11,0.01,-0.13,
6100,HIP 49813 ,0.36,0.42,0.36,
6101,HIP 82584 ,0.14,0.03,-0.07,
6102,HIP 17049 ,-0.02,-0.06,-0.16,
6103,HIP 82588 ,0.0,-0.03,-0.04,
6104,HIP 17054 ,0.38,0.51,0.42,
6107,HIP 17057 ,-0.06,0.3,0.17,
6108,HIP 17058 ,0.12,0.2,0.24,
6109,HIP 82599 ,-0.2,-0.1,-0.14,
6112,2MASS 19531640+4716461 ,0.17,0.18,0.12,
6113,HIP 49841 ,0.27,0.36,0.35,
6115,HIP 49844 ,0.43,0.38,0.36,
6116,HIP 115381 ,-0.09,0.12,0.0,
6118,HIP 17085 ,-0.01,-0.17,0.0,
6119,HIP 17086 ,0.24,0.07,0.13,
6120,HIP 82621 ,0.16,0.22,0.18,
6121,HIP 82629 ,0.01,-0.04,0.06,
6122,HIP 17096 ,-0.1,-0.04,-0.1,
6123,HIP 82632 ,0.2,0.13,0.5,
6124,HIP 82636 ,-0.28,-0.07,-0.24,
6126,HIP 115411 ,-0.41,-0.31,-0.38,
6127,HIP 82651 ,-0.23,-0.28,-0.39,
6128,HIP 17120 ,0.04,0.12,0.11,
6129,HIP 115438 ,-0.35,-0.17,-0.12,
6131,HIP 82677 ,-0.36,-0.41,-0.49,
6133,HIP 115445 ,-0.29,-0.21,-0.28,
6134,HIP 82681 ,-0.37,-0.16,-0.18,
6135,HIP 17147 ,-0.8,-0.44,-0.57,
6136,2MASS 07102406-3905506 ,0.23,0.14,0.22,
6137,HIP 82688 ,0.13,0.07,0.05,
6139,HIP 17165 ,-0.19,-0.2,-0.28,
6140,HIP 115470 ,0.04,0.07,0.1,
6141,2MASS 19354403+4035266 ,0.04,-0.05,0.01,
6143,HIP 49942 ,-0.27,0.09,-0.09,
6144,2MASS 19141956+4105233 ,0.22,0.13,0.15,
6145,HIP 17183 ,0.03,0.18,0.08,
6146,HIP 82722 ,-0.01,-0.08,-0.02,
6147,2MASS 22335419-1005057 ,0.11,0.06,0.11,
6148,HIP 82729 ,0.11,0.09,0.15,
6149,HIP 82730 ,0.18,0.34,0.29,
6150,HIP 115501 ,0.39,0.48,0.39,
6151,HIP 82738 ,-0.09,-0.07,-0.07,
6153,HIP 82750 ,0.05,0.09,0.03,
6154,HIP 115519 ,-0.01,0.02,0.0,
6156,HIP 49988 ,-0.39,-0.26,-0.32,
6158,HIP 115527 ,0.04,0.04,-0.02,
6159,2MASS 19201451+4709502 ,0.01,-0.04,-0.06,
6161,HIP 82764 ,-0.14,-0.01,0.0,
6162,HIP 17231 ,-0.15,-0.1,-0.04,
6163,2MASS 19363592+3827297 ,0.06,-0.02,0.05,
6164,2MASS 18514966+4249322 ,0.05,0.03,0.07,
6165,HIP 50005 ,-0.41,-0.23,-0.15,
6166,HIP 115547 ,-0.2,-0.06,-0.14,
6167,HIP 82780 ,-0.1,0.0,0.02,
6168,HIP 50013 ,0.12,0.05,0.12,
6170,HIP 50020 ,0.08,0.04,0.07,
6171,HIP 17253 ,0.22,0.25,0.26,
6173,HIP 82799 ,-0.14,-0.23,-0.2,
6174,HIP 17264 ,-0.15,-0.1,-0.15,
6175,HIP 50032 ,-0.06,-0.07,-0.08,
6177,HIP 50035 ,0.21,0.11,0.17,
6179,HIP 17269 ,0.47,0.58,0.51,
6180,HIP 115572 ,-0.22,-0.08,-0.14,
6181,HIP 115577 ,0.04,0.18,0.07,
6182,HIP 17284 ,0.07,-0.02,-0.14,
6183,HIP 50061 ,0.17,0.04,-0.03,
6185,HIP 115610 ,-0.46,-0.18,-0.12,
6186,HIP 50075 ,-0.01,0.0,-0.02,
6188,HIP 82847 ,-0.14,0.03,-0.02,
6193,HIP 82860 ,-0.06,-0.09,-0.08,
6195,HIP 82867 ,-0.94,-0.58,-0.67,
6198,HIP 17341 ,0.08,0.17,0.05,
6199,HIP 50109 ,-0.06,0.3,0.07,
6200,HIP 17346 ,-0.1,-0.11,-0.14,
6201,HIP 82886 ,-0.21,-0.33,-0.38,
6202,HIP 17351 ,0.24,0.42,0.43,
6203,HIP 50121 ,0.07,0.05,0.06,
6204,HIP 50122 ,-0.04,0.05,0.07,
6205,HIP 17356 ,0.22,0.1,0.06,
6206,HIP 82894 ,0.0,0.1,0.14,
6207,HIP 115662 ,0.01,0.07,-0.01,
6209,HIP 17364 ,-0.31,-0.23,-0.24,
6210,HIP 50139 ,-0.6,-0.33,-0.42,
6213,HIP 17378 ,0.16,0.23,0.18,
6214,2MASS 19061393+3824193 ,-0.04,-0.09,-0.03,
6217,2MASS 19383520+4153027 ,0.04,0.06,0.09,
6220,2MASS 17490839+2952447 ,0.41,0.32,0.38,
6221,HIP 82927 ,-0.33,-0.17,-0.2,
6222,HIP 115696 ,-0.38,-0.16,-0.23,
6225,HIP 82935 ,-0.13,-0.14,-0.03,
6227,HIP 17402 ,-0.19,-0.16,-0.07,
6228,HIP 50174 ,0.25,0.27,0.26,
6229,HIP 17408 ,-0.19,-0.12,-0.06,
6231,HIP 50176 ,-0.08,-0.02,-0.09,
6232,HIP 115714 ,-0.16,-0.12,-0.13,
6233,HIP 115715 ,-0.16,-0.06,-0.18,
6235,2MASS 19482762+4154328 ,0.06,0.04,0.02,
6236,HIP 115721 ,-0.38,-0.2,-0.21,
6237,HIP 17420 ,-0.06,-0.02,-0.07,
6238,2MASS 00021423+3228190 ,-1.44,-0.96,-1.05,
6239,HIP 82958 ,-0.77,-0.47,-0.39,
6240,2MASS 12515557-4204249 ,0.5,0.34,0.36,
6241,2MASS 18452371+4417428 ,0.02,-0.08,0.03,
6243,HD 38b ,-0.07,-0.12,0.06,
6246,2MASS 19104752+4220194 ,0.02,0.02,0.06,
6248,HIP 115753 ,-0.44,-0.31,-0.33,
6249,2MASS 19245404+4455385 ,0.15,0.13,0.19,
6250,HIP 82987 ,-0.14,-0.06,-0.01,
6253,HIP 82989 ,0.14,0.23,0.14,
6254,HIP 115757 ,0.27,0.22,0.27,
6255,HIP 115761 ,-0.11,-0.09,-0.03,
6257,HD 160723 ,-0.24,-0.23,-0.25,
6259,HIP 83000 ,0.2,0.33,0.38,
6260,HIP 50234 ,0.0,-0.02,0.1,
6261,HIP 115768 ,-0.03,0.05,0.09,
6262,HIP 115769 ,-0.2,-0.03,-0.06,
6264,HIP 83006 ,0.0,-0.06,0.02,
6265,HIP 83007 ,0.0,0.18,0.22,
6266,HIP 115780 ,0.16,-0.01,0.12,
6269,2MASS 08394575+1922011 ,0.07,0.0,0.1,
6270,2MASS 06484671-0040219 ,0.36,0.08,0.01,
6271,HIP 17483 ,0.18,0.15,0.11,
6272,HIP 83020a ,-0.26,-0.32,-0.19,
6273,HIP 17486 ,0.29,0.23,0.25,
6274,HIP 115792 ,-0.07,-0.04,-0.12,
6275,HIP 50259 ,-0.5,-0.12,-0.34,
6276,HIP 17493 ,-0.15,-0.08,0.0,
6278,HIP 115803 ,0.03,0.03,0.01,
6281,HIP 50274 ,-0.3,-0.25,-0.26,
6283,HIP 115813 ,-0.34,0.02,-0.05,
6284,HIP 83047 ,-0.63,-0.44,-0.31,
6285,HIP 17515 ,0.18,0.18,0.15,
6288,HIP 17524 ,-0.1,-0.1,0.02,
6289,HIP 115829 ,0.09,-0.01,-0.11,
6290,HIP 115830 ,0.12,0.36,0.28,
6292,HIP 83069 ,-0.2,-0.25,-0.08,
6293,HIP 17534 ,0.14,0.18,0.24,
6294,2MASS 00040001-3019158 ,0.2,0.06,0.09,
6295,HD 31208b ,0.06,0.06,-0.01,
6296,HIP 83081 ,-0.22,-0.01,0.19,
6297,HIP 115849 ,0.13,-0.12,0.17,
6298,2MASS 19314299+4836101 ,-0.1,-0.1,-0.13,
6299,HIP 50316 ,0.07,0.09,0.06,
6300,2MASS 20550794-3408079 ,0.33,0.27,0.26,
6301,HIP 50319 ,0.02,-0.01,0.1,
6302,HIP 83088 ,-0.35,-0.41,-0.49,
6303,HIP 115861 ,0.24,0.28,0.24,
6304,HIP 50336 ,-0.04,0.15,0.22,
6305,HIP 83107 ,0.06,0.1,0.13,
6307,HIP 83114 ,0.13,0.14,0.11,
6309,HD 239643 ,0.04,-0.01,0.01,
6310,HIP 50352 ,-0.06,-0.03,-0.08,
6314,2MASS 19263090+4112309 ,-0.15,-0.07,-0.12,
6315,HIP 17595 ,-0.11,-0.07,0.01,
6316,2MASS 11362567+0745112 ,-0.03,0.01,-0.06,
6319,HIP 83138 ,0.15,0.03,0.22,
6320,HIP 17603 ,0.16,0.49,0.15,
6321,2MASS 19113295+4616344 ,-0.12,-0.1,-0.08,
6323,2MASS 19102037+4909172 ,0.04,0.0,-0.02,
6326,HIP 115915 ,0.01,0.15,0.17,
6327,HD 164807 ,-0.38,-0.3,-0.4,
6328,HIP 115917 ,-0.48,-0.39,-0.49,
6329,HIP 50382 ,-1.29,-1.11,-1.06,
6330,HIP 115919 ,0.1,0.18,0.19,
6331,HIP 50384 ,-0.33,-0.18,-0.27,
6332,HIP 83153 ,0.02,0.0,0.13,
6333,BD+23 00514 ,0.05,-0.05,-0.01,
6334,HD 166986 ,-0.18,-0.13,-0.09,
6336,HIP 83181 ,0.17,0.06,0.08,
6338,HIP 83183 ,-0.44,-0.28,-0.32,
6339,HIP 83184 ,-0.51,-0.33,-0.32,
6340,HIP 115951 ,0.12,0.16,0.14,
6341,HIP 115953 ,0.38,0.63,0.6,
6342,HIP 17651 ,0.14,0.14,0.12,
6344,HIP 17655 ,-0.37,-0.29,-0.2,
6345,HIP 17666 ,-0.99,-0.6,-0.56,
6346,HIP 83204 ,-0.27,-0.19,-0.22,
6348,HIP 83219 ,-0.35,-0.03,-0.1,
6349,HIP 83222 ,-0.16,-0.17,-0.21,
6350,HIP 17689 ,-0.08,0.15,-0.08,
6351,HIP 50461 ,0.02,0.06,0.09,
6352,HIP 83229 ,-0.5,-0.2,-0.32,
6354,HIP 83236 ,-0.22,-0.21,-0.22,
6355,HIP 50473 ,-0.09,-0.02,-0.11,
6356,HIP 83241 ,-0.13,-0.07,-0.15,
6358,2MASS 18484762+4631130 ,0.05,0.01,0.03,
6359,HIP 50478 ,-0.05,-0.07,-0.16,
6361,HIP 50493 ,0.04,0.27,0.06,
6362,HIP 116033 ,-0.06,-0.1,-0.08,
6363,HIP 50505 ,-0.16,-0.04,-0.16,
6364,HIP 17738 ,-0.33,-0.07,-0.15,
6365,HIP 83276 ,-0.05,-0.02,-0.06,
6366,2MASS 19562938+4152003 ,-0.09,-0.11,-0.12,
6368,HIP 50513 ,-0.08,-0.01,-0.07,
6369,HIP 116050 ,0.19,0.2,0.18,
6370,HIP 17747 ,0.32,0.26,0.26,
6371,HIP 50515 ,-0.16,-0.23,-0.1,
6372,HIP 116053 ,0.07,-0.05,-0.25,
6373,HIP 17752 ,-0.14,-0.13,-0.11,
6374,HIP 83289 ,0.14,0.15,0.27,
6375,HIP 83301 ,-0.31,-0.27,-0.33,
6376,HIP 50534 ,0.15,0.16,0.12,
6377,HIP 83305 ,0.02,-0.04,-0.06,
6378,HIP 116076 ,-0.2,0.1,0.01,
6379,HIP 116077 ,0.35,0.39,0.33,
6380,HIP 17778 ,0.13,0.05,0.05,
6381,HIP 50546 ,0.27,0.59,0.4,
6382,HIP 116082 ,-0.76,-0.47,-0.59,
6383,HIP 116084 ,0.05,-0.02,0.02,
6384,HIP 116085 ,0.02,0.24,0.08,
6385,HIP 83319 ,-0.18,0.05,0.0,
6386,HIP 17790 ,-0.34,-0.04,-0.2,
6388,HIP 116097 ,-0.03,0.0,0.1,
6389,HD 74387 ,-0.42,-0.2,-0.16,
6390,HIP 50564 ,0.16,0.47,0.16,
6391,HIP 17801 ,-0.36,-0.01,-0.2,
6392,HIP 116106 ,-0.19,-0.12,-0.18,
6396,HIP 116122 ,0.12,0.13,0.1,
6397,HIP 17819 ,0.18,0.26,0.16,
6398,HIP 83359 ,0.1,0.12,0.24,
6399,HIP 83360 ,-0.37,-0.33,-0.28,
6400,HIP 83361 ,-0.17,-0.06,-0.04,
6402,HIP 83367 ,-0.12,0.03,0.07,
6403,HIP 50601 ,-0.14,0.0,0.03,
6404,HIP 83373 ,-0.23,-0.12,-0.2,
6405,HIP 50606 ,0.06,0.18,0.06,
6406,2MASS 19171110+4627286 ,0.15,0.09,0.12,
6408,2MASS 20242972+1645437 ,0.22,0.15,0.16,
6409,2MASS 19160523-1652561 ,0.12,0.11,0.09,
6410,HIP 83389 ,-0.14,-0.05,-0.13,
6411,HIP 83395 ,-0.29,-0.14,-0.15,
6412,HIP 116164 ,-0.11,0.07,-0.12,
6413,HD 167652 ,-0.08,0.01,-0.02,
6414,HIP 83398 ,0.14,0.1,0.1,
6415,2MASS 19121663+3849036 ,0.03,0.0,0.0,
6416,2MASS 18454576+4714472 ,0.03,0.05,-0.01,
6417,HIP 50635 ,-0.17,0.05,0.07,
6418,HIP 83407 ,0.04,0.24,0.24,
6419,HIP 17874 ,0.04,0.15,0.16,
6420,2MASS 19191922+5035104 ,0.1,0.11,-0.06,
6421,HIP 50653 ,0.05,0.09,0.04,
6422,2MASS 18494152+4600504 ,0.27,0.27,0.31,
6423,HIP 50657 ,-0.1,0.07,-0.11,
6425,HIP 83435 ,0.33,0.37,0.37,
6426,HIP 50671 ,-0.39,-0.3,-0.35,
6427,2MASS 13201888-3656433 ,0.19,0.19,0.18,
6428,HIP 50681 ,-0.26,-0.22,-0.24,
6429,HIP 116217 ,0.27,0.19,0.16,
6430,HIP 116221 ,0.36,0.36,0.3,
6431,HIP 83458 ,0.35,0.23,0.29,
6432,HIP 17936 ,0.08,0.09,0.09,
6433,2MASS 19141766+5128219 ,0.21,0.18,0.15,
6434,HIP 17938 ,0.0,-0.11,-0.25,
6436,HIP 50713 ,-0.07,-0.03,-0.05,
6437,HIP 116250 ,0.34,0.44,0.39,
6438,HIP 83489 ,-0.25,0.12,-0.08,
6439,HIP 116258 ,0.04,0.12,-0.03,
6440,HIP 17960 ,0.23,0.26,0.17,
6441,HIP 83497 ,-0.36,-0.32,-0.31,
6442,HD 201796a ,0.19,0.07,0.11,
6443,HIP 83501 ,-0.24,-0.13,-0.17,
6444,HIP 83504 ,-0.2,0.04,-0.06,
6445,HIP 17970 ,-0.45,-0.31,-0.38,
6447,HD 209790 ,0.3,-0.15,0.17,
6448,HIP 17978 ,-0.26,-0.19,-0.27,
6450,HIP 83517 ,-0.28,-0.08,-0.24,
6452,HIP 83521 ,-0.24,-0.1,-0.17,
6453,HIP 50754 ,0.0,0.04,0.0,
6454,HIP 17987 ,-0.44,-0.12,-0.27,
6455,HIP 116292 ,0.16,0.21,0.24,
6456,HIP 83541 ,0.32,0.34,0.32,
6457,HIP 50777 ,0.2,0.18,0.23,
6458,HIP 83547 ,0.0,0.15,0.0,
6461,HIP 50784 ,0.14,0.1,0.08,
6462,HIP 50785 ,-0.04,0.04,0.06,
6463,HIP 50786 ,0.23,0.3,0.22,
6464,HIP 83562 ,-0.2,-0.08,-0.13,
6468,HIP 50805 ,-0.24,-0.17,-0.32,
6469,HIP 50807 ,-0.07,-0.07,-0.04,
6470,HIP 83575 ,0.05,0.11,0.13,
6473,HIP 116350 ,-0.2,-0.14,-0.16,
6474,HIP 116355 ,0.14,0.24,0.3,
6475,HIP 83589 ,-0.11,0.21,0.18,
6476,HIP 83591 ,-0.57,-0.38,-0.54,
6477,HIP 18056 ,-0.01,-0.1,-0.24,
6480,HIP 116368 ,-0.01,0.27,0.32,
6481,HIP 83601 ,0.09,0.09,0.02,
6482,HIP 50834 ,-0.23,-0.15,-0.24,
6483,HIP 116374 ,0.04,-0.11,-0.04,
6484,HIP 50839 ,0.3,0.31,0.32,
6486,HIP 83612 ,-0.16,-0.13,-0.15,
6489,HIP 50851 ,0.19,0.35,0.3,
6491,HIP 83622 ,-0.22,-0.18,-0.23,
6492,HIP 83623 ,-0.15,-0.17,-0.13,
6493,HIP 18090 ,-0.11,-0.2,-0.05,
6494,HIP 18096 ,0.18,0.26,0.14,
6495,HIP 18097 ,-0.04,0.03,-0.02,
6496,HIP 50866 ,-0.13,-0.09,-0.13,
6497,HIP 18106 ,0.13,0.18,0.12,
6498,HIP 83642 ,-0.37,-0.08,-0.2,
6499,HIP 116410 ,-0.36,-0.24,-0.31,
6500,HIP 116416 ,-0.05,0.07,-0.08,
6502,HIP 116421 ,-0.37,-0.06,-0.16,
6503,HIP 116422 ,0.25,0.19,0.24,
6504,HIP 50887 ,0.07,0.1,0.05,
6505,HIP 50895 ,-0.19,-0.1,-0.16,
6506,HIP 83664 ,-0.04,0.03,0.0,
6507,HD 215812a ,-0.16,-0.05,-0.08,
6508,HIP 50903 ,0.11,0.0,-0.06,
6509,HIP 50904 ,-0.22,0.01,0.05,
6511,HIP 50907 ,0.35,0.31,0.32,
6516,HIP 83688 ,0.12,0.07,0.05,
6517,HIP 50921 ,-0.2,-0.11,-0.19,
6519,HIP 83692 ,-0.03,0.22,0.22,
6520,HIP 83696 ,-0.34,-0.05,-0.03,
6521,HIP 50930 ,-0.35,0.05,-0.03,
6522,HIP 18164 ,-0.54,-0.44,-0.55,
6525,HIP 50938 ,0.01,0.06,0.05,
6526,HIP 50939 ,-0.02,0.04,-0.19,
6527,HIP 50941 ,-0.67,-0.31,-0.46,
