,f_preferred_name,Fe,Mg,Si,Unnamed: 4
739,HIP 34767 ,-0.01,-0.03,-0.02,
740,HD 188119b ,-0.28,-0.3,-0.47,
741,HIP 67537 ,0.11,0.21,0.29,
742,HD 181207 ,-0.17,-0.16,-0.18,
743,2MASS 19170588+4428129 ,0.18,0.05,0.2,
744,HIP 2006 ,0.01,0.11,0.1,
746,HIP 34776 ,-0.11,-0.02,-0.02,
747,HIP 67545 ,-0.05,-0.06,0.05,
750,HIP 100321 ,-0.01,0.33,0.16,
751,BD+26 02342 ,-0.02,0.02,-0.05,
752,HIP 2021 ,-0.08,0.0,-0.06,
754,2MASS 19341774+4523043 ,-0.09,-0.1,-0.12,
755,HIP 34801 ,0.4,0.27,0.33,
758,HIP 67572 ,-0.15,-0.08,-0.14,
761,2MASS 19210368+4032551 ,0.13,0.09,0.14,
762,HD 106545a ,0.06,0.12,0.09,
764,HIP 67583 ,-0.16,0.03,-0.03,
765,HIP 2049 ,0.25,0.19,0.23,
766,HIP 67589 ,-0.12,0.12,0.12,
767,HIP 100357 ,-0.52,-0.19,-0.27,
768,HIP 100359 ,0.25,0.26,0.23,
769,HIP 67592 ,-0.12,0.02,-0.08,
770,HIP 2057 ,-0.14,-0.05,-0.13,
772,HIP 100363 ,0.23,0.11,0.15,
773,HIP 67601 ,-0.31,-0.23,-0.38,
775,HIP 100372 ,-0.62,-0.29,-0.43,
776,HIP 2072 ,0.02,0.16,0.01,
777,2MASS 19241792+4514333 ,0.14,0.11,0.07,
778,HIP 100380 ,-0.3,0.04,0.01,
779,HIP 67620 ,-0.01,0.08,0.01,
781,2MASS 19135396+4039048 ,0.09,0.12,0.15,
782,2MASS 19185921+5059373 ,-0.07,-0.12,-0.1,
783,HIP 100394 ,-0.66,-0.36,-0.52,
785,HIP 100396 ,0.14,0.17,0.13,
786,2MASS 19385839+4327403 ,0.04,0.01,0.04,
787,HIP 2100 ,-0.28,-0.2,-0.17,
788,HIP 100405 ,-0.49,-0.37,-0.43,
789,HD 172023 ,-0.23,-0.11,-0.21,
790,HIP 100412 ,-0.24,-0.23,-0.26,
791,HIP 34877 ,0.29,0.26,0.24,
792,HIP 34879 ,0.3,0.37,0.32,
794,HIP 67655 ,-0.85,-0.59,-0.68,
795,HIP 67661 ,0.03,0.18,0.04,
796,2MASS 19363364+3817318 ,0.17,-0.06,0.13,
800,2MASS 19224155+3841276 ,0.05,-0.04,0.0,
801,HIP 34902 ,-0.36,-0.18,-0.28,
802,2MASS 19521624+4924453 ,-0.04,-0.06,-0.05,
803,HIP 100449 ,0.28,0.26,0.26,
804,HIP 100455 ,-0.32,-0.3,-0.34,
805,HIP 2156 ,0.12,0.1,0.09,
806,2MASS 23163113-6327046 ,-0.05,0.06,0.01,
807,HIP 100470 ,0.15,0.19,0.19,
808,HIP 100474 ,0.22,0.24,0.21,
810,HIP 100492 ,-0.28,-0.15,-0.26,
811,HIP 34961 ,-0.4,-0.16,-0.26,
812,HIP 2194 ,-0.56,-0.36,-0.38,
813,HIP 100500 ,0.2,0.22,0.19,
814,HIP 100503 ,-0.18,-0.09,-0.17,
815,HIP 100504 ,-0.33,-0.19,-0.24,
817,HIP 100511 ,-0.02,0.01,-0.03,
818,HD 208930 ,-0.08,0.0,-0.14,
819,HIP 100515 ,0.24,0.36,0.39,
821,HIP 2213 ,0.41,0.34,0.31,
822,HIP 100524 ,-0.1,0.0,0.06,
823,2MASS 19310175+4325368 ,0.09,0.01,0.02,
824,BD+16 03263 ,-0.21,-0.08,-0.19,
826,HIP 2235 ,-0.3,-0.18,-0.24,
827,HIP 35005 ,-0.13,-0.04,-0.01,
828,HIP 100541 ,-0.02,0.13,0.12,
829,HIP 2247 ,0.05,0.15,0.07,
830,HIP 67784 ,-0.08,-0.1,-0.12,
831,HIP 100553 ,-0.36,-0.39,-0.39,
833,HIP 100559 ,-0.15,-0.15,0.03,
834,HIP 2256 ,-0.02,0.15,0.11,
836,HIP 100568 ,-1.05,-0.9,-0.95,
837,2MASS 19405218+4035321 ,-0.25,-0.25,-0.3,
838,2MASS 19402457+4034206 ,-0.25,-0.18,-0.19,
844,HIP 100587 ,0.04,-0.01,0.28,
845,HIP 2288 ,0.17,0.24,0.21,
846,HIP 35058 ,0.27,0.29,0.29,
847,HIP 2292 ,0.23,0.25,0.23,
848,2MASS 19094540+4349555 ,-0.62,-0.36,-0.36,
849,HIP 67837 ,0.12,0.26,0.06,
851,HIP 2314 ,0.44,0.27,0.39,
852,HIP 67851 ,0.08,0.33,0.16,
855,HIP 2319 ,-0.53,-0.42,-0.47,
856,HIP 2320 ,0.3,0.34,0.33,
857,2MASS 18561467+4530246 ,0.0,-0.11,0.0,
858,HIP 35093 ,-0.14,-0.18,-0.17,
859,HIP 67863 ,-0.67,-0.34,-0.44,
860,HIP 35096 ,-0.13,-0.16,-0.12,
861,2MASS 18463834+4332297 ,-0.22,-0.06,-0.26,
862,HIP 2339 ,0.04,-0.02,-0.1,
863,HIP 35107 ,0.27,0.03,-0.06,
864,BD+60 00402 ,0.22,0.18,0.19,
866,HIP 100649 ,0.31,0.33,0.25,
867,HIP 2350 ,0.16,0.17,0.18,
868,HIP 67890 ,0.31,0.42,0.46,
869,HIP 2355 ,-0.09,-0.11,-0.1,
870,2MASS 19284485+4143373 ,0.03,0.0,-0.06,
872,HIP 67897 ,-0.55,-0.38,-0.27,
873,HIP 35134 ,0.07,0.23,0.11,
874,HIP 35136 ,-0.27,-0.12,-0.24,
875,HIP 67904 ,-0.25,-0.23,-0.26,
876,HIP 35139 ,-0.52,-0.37,-0.46,
877,HIP 35145 ,0.04,0.04,0.04,
878,HIP 35146 ,0.14,0.28,0.2,
879,HIP 100682 ,-2.55,-2.3,-2.56,
880,HIP 35148 ,-0.18,-0.13,-0.18,
881,HIP 100684 ,-0.18,-0.15,-0.18,
883,2MASS 19115492+4240456 ,0.27,0.26,0.27,
884,HIP 35157 ,-0.25,-0.13,-0.32,
885,HIP 67925 ,-0.22,-0.16,-0.14,
886,HIP 67927 ,0.32,0.48,0.34,
887,HIP 67929 ,0.18,0.28,0.33,
889,HIP 100710 ,-0.39,-0.35,-0.34,
890,HIP 2413 ,-1.9,-1.67,-1.52,
891,HIP 2416 ,-0.02,0.0,-0.03,
892,HIP 35185 ,0.02,-0.04,-0.1,
893,HIP 2422 ,-0.01,0.09,-0.04,
894,HIP 67958 ,-0.08,0.02,-0.22,
895,HIP 2434 ,-0.06,-0.07,-0.01,
896,2MASS 19101708+4248501 ,-0.07,-0.09,-0.02,
897,HIP 35209 ,0.17,0.13,0.12,
899,HIP 67986 ,-0.04,-0.03,-0.07,
901,HIP 2453 ,-0.39,-0.34,-0.28,
902,HIP 67993 ,-0.34,-0.2,-0.23,
904,HIP 100763 ,-0.16,-0.03,-0.1,
905,2MASS 19093170+4927086 ,0.06,-0.04,0.03,
906,HIP 100783 ,-0.39,-0.3,-0.17,
907,2MASS 19464330+4710231 ,-0.14,-0.09,-0.14,
908,HIP 100788 ,-0.04,0.11,-0.01,
909,HIP 100789 ,-0.12,-0.03,-0.09,
910,HIP 100792 ,-1.07,-0.85,-0.95,
911,HD 169451 ,-0.45,-0.4,-0.37,
912,HIP 100797 ,-0.1,-0.07,0.11,
913,HIP 68030 ,-0.35,-0.25,-0.31,
914,HIP 35265 ,0.05,-0.01,-0.01,
915,HIP 2498 ,0.13,0.05,-0.05,
918,BD+33 02133 ,-1.05,-0.66,-0.84,
919,HIP 35279 ,0.38,0.38,0.35,
921,HIP 68059 ,-0.01,-0.06,-0.01,
923,HIP 100843 ,-0.33,-0.19,-0.26,
924,HIP 35310 ,0.11,0.2,0.1,
925,HIP 68079 ,0.03,0.33,0.3,
926,HIP 35314 ,0.29,0.13,-0.01,
927,HIP 35317 ,0.06,0.06,0.09,
928,HIP 35318 ,-0.52,-0.37,-0.49,
929,HIP 68085 ,-0.16,-0.04,-0.21,
930,2MASS 19020310+3804470 ,0.0,-0.03,0.02,
931,HIP 68090 ,0.0,0.0,-0.02,
932,HIP 35332 ,0.31,0.26,0.29,
933,HIP 68101 ,-0.37,-0.25,-0.37,
934,HIP 2567 ,-0.17,-0.21,-0.31,
935,HIP 2568 ,0.09,0.18,0.29,
937,HIP 68108 ,-0.5,-0.25,-0.43,
938,HIP 100884 ,-0.17,0.05,-0.02,
939,HD 22589 ,-0.08,0.13,-0.06,
941,HIP 100895 ,-0.15,-0.15,-0.15,
942,HIP 100896 ,-0.02,-0.04,-0.01,
949,HIP 2611 ,0.04,0.19,0.19,
951,2MASS 18480851+4337525 ,-0.02,-0.09,-0.07,
952,HIP 100925 ,0.0,0.02,0.02,
953,HD 212484 ,-0.5,-0.3,-0.32,
954,HIP 68162 ,0.17,0.13,0.13,
955,2MASS 19341940+4025388 ,-0.17,-0.17,-0.2,
956,2MASS 11082249-0103565 ,-0.33,-0.2,-0.24,
958,HIP 100942 ,0.12,0.18,0.08,
959,2MASS 19235886+4511319 ,0.08,-0.04,-0.03,
961,HIP 68184 ,0.2,0.42,0.26,
962,HIP 100953 ,0.0,0.02,0.09,
966,HIP 100963 ,0.04,-0.03,-0.04,
967,HIP 100965 ,-0.15,-0.06,-0.1,
968,HIP 2663 ,0.07,0.07,0.05,
969,HIP 35431 ,0.04,-0.01,-0.03,
970,HIP 100969 ,-0.07,0.03,0.03,
971,HIP 100970 ,0.09,0.09,0.04,
973,HIP 100979 ,-0.09,0.01,0.17,
974,HIP 35449 ,0.34,-0.13,0.22,
977,HIP 2711 ,0.08,0.04,0.05,
978,HIP 2712 ,-0.1,-0.08,-0.07,
979,2MASS 03465326+2252513 ,0.04,-0.09,-0.02,
980,HIP 101022 ,-0.02,0.16,0.0,
982,HD 126246a ,-0.1,-0.01,-0.13,
985,HIP 68266 ,-0.24,-0.15,-0.23,
986,HIP 68267 ,-0.16,0.04,-0.07,
987,HIP 2734 ,0.08,0.15,0.21,
988,HIP 68273 ,-0.4,-0.24,-0.26,
989,HIP 68274 ,0.02,0.15,0.06,
990,HD 147722 ,0.13,0.13,0.12,
991,HIP 35509 ,0.06,-0.01,0.07,
992,HIP 2742 ,0.2,0.11,0.09,
993,HIP 2743 ,-0.37,-0.12,-0.25,
994,2MASS 19290877+4204208 ,0.06,0.08,0.02,
995,HIP 2747 ,-0.21,-0.15,-0.19,
996,HIP 35519 ,0.19,0.26,0.21,
997,HIP 101059 ,-0.15,0.03,-0.11,
999,HIP 2762 ,-0.03,0.14,0.04,
1000,HD 182756 ,0.38,0.36,0.36,
1001,2MASS 06312373+0036445 ,-0.4,-0.25,-0.28,
1004,HIP 101082 ,-0.29,-0.11,-0.15,
1006,2MASS 07204044+3708263 ,0.12,0.02,0.07,
1007,HIP 2787 ,-0.07,-0.04,-0.1,
1008,2MASS 18434227+4405165 ,-0.04,-0.03,-0.08,
1010,HD 142751 ,-0.05,-0.19,0.02,
1011,HIP 68333 ,-0.26,-0.09,-0.12,
1012,HIP 101101 ,0.24,0.39,0.42,
1013,2MASS 19450665+4653594 ,-0.15,-0.1,-0.15,
1014,2MASS 19044702+3903207 ,0.48,0.13,0.36,
1015,HIP 68337 ,0.08,-0.02,0.17,
1019,HIP 101124 ,-0.36,-0.31,-0.36,
1021,HIP 101134 ,-0.17,-0.15,-0.17,
1023,HIP 2832 ,-0.18,-0.07,-0.08,
1024,HIP 68369 ,0.01,-0.06,-0.17,
1025,HIP 101136 ,-0.07,-0.14,-0.08,
1026,HIP 68380 ,0.15,0.71,0.16,
1027,HD 189295 ,-0.18,-0.24,-0.28,
1028,HIP 68382 ,0.06,0.0,0.1,
1030,HIP 2848 ,0.25,0.27,0.24,
1031,HIP 101163 ,-0.07,-0.15,-0.12,
1032,HIP 101184 ,-0.19,-0.28,-0.32,
1033,HIP 35651 ,-0.44,-0.37,-0.47,
1035,HIP 2902 ,0.22,0.13,0.09,
1036,2MASS 19505156+4106153 ,0.11,0.02,0.03,
1037,HIP 2909 ,-0.18,0.01,-0.05,
1039,HIP 101221 ,0.06,-0.33,-0.08,
1042,HIP 68461 ,0.36,0.31,0.31,
1043,HIP 2926 ,0.36,0.53,0.53,
1044,2MASS 19122903+4758000 ,0.0,-0.06,-0.08,
1045,HIP 68464 ,-1.74,-1.56,-1.72,
1046,HIP 101234 ,-0.21,0.01,-0.11,
1047,2MASS 19481641+4650034 ,0.11,0.05,0.04,
1048,HIP 68468 ,0.11,0.16,0.08,
1050,HIP 35702 ,0.18,0.06,-0.01,
1051,HIP 2937 ,-0.06,0.13,0.04,
1053,HIP 2941 ,-0.12,-0.02,-0.12,
1055,HIP 35710 ,-0.31,-0.24,-0.16,
1056,HIP 101245 ,-0.12,-0.03,-0.04,
1057,HIP 2945 ,0.11,-0.12,-0.2,
1058,2MASS 18484802+4425202 ,0.15,0.12,0.1,
1059,HIP 35718 ,-0.02,0.0,0.05,
1060,HIP 68495 ,-0.27,-0.34,-0.48,
1062,HIP 101274 ,0.07,0.06,0.05,
1063,HIP 35739 ,0.04,0.01,-0.01,
1064,HIP 68513 ,-0.28,-0.21,-0.32,
