,hash,mass,cmf,tot_disk_cmf,boundary,percentage,sim_id,semi
186,5.0,3.638845e-06,0.23031903341637253,0.33,0.5,0.3,1,0.7735252810376932
187,12.0,1.267064e-06,0.3081551233023747,0.33,0.5,0.3,1,1.5045604060362747
188,114.0,2.8e-08,0.231,0.33,0.5,0.3,1,1.8700770857743962
189,116.0,2.8e-08,0.231,0.33,0.5,0.3,1,2.404664276984669
190,140.0,2.8e-08,0.231,0.33,0.5,0.3,1,0.7688832256341156
191,3783228500.0,1.575368e-08,0.0,0.33,0.5,0.3,1,5.2025292738827185
192,2.0,2.324357e-06,0.5065578991225828,0.33,0.5,0.3,2,0.4571792103237553
193,6.0,2.671496e-06,0.2590353368223005,0.33,0.5,0.3,2,0.8832443063031762
194,12.0,6.365041e-07,0.2760390702903564,0.33,0.5,0.3,2,1.4092168368794815
195,90.0,1.4e-08,1.0,0.33,0.5,0.3,2,1.7014498345972773
196,1902671923.0,1.437479e-08,0.0,0.33,0.5,0.3,2,5.2024123615620175
197,1.0,1.267505e-06,0.7938771783641334,0.33,0.5,0.3,3,0.37238178814365336
198,4.0,3.45768e-06,0.24591729515459856,0.33,0.5,0.3,3,0.7640999229442266
199,9.0,1.726368e-06,0.2747881484225405,0.33,0.5,0.3,3,1.2851000971747084
200,3662110242.0,1.515355e-08,0.0,0.33,0.5,0.3,3,5.203809804710258
201,1.0,8.985857e-07,0.7862788781837075,0.33,0.5,0.3,4,0.3603102041021573
202,7.0,1.723793e-06,0.34372147785726026,0.33,0.5,0.3,4,0.5761659770190991
203,9.0,1.184988e-06,0.24382198586320683,0.33,0.5,0.3,4,1.3752294310585729
204,12.0,2.45753e-06,0.25231172141459113,0.33,0.5,0.3,4,0.8631952144618542
205,89.0,2.8e-08,0.231,0.33,0.5,0.3,4,2.106471995597535
206,1.0,1.255982e-06,0.5526273669416097,0.33,0.5,0.3,5,0.37967712250091035
207,7.0,3.386102e-06,0.2542682598315114,0.33,0.5,0.3,5,0.7417213543482731
208,8.0,1.788563e-06,0.4471377496891824,0.33,0.5,0.3,5,1.360507034366798
209,1.0,8.873005e-07,0.7639201907074898,0.33,0.5,0.3,6,0.3459829920228221
210,5.0,3.050587e-06,0.3343645715528288,0.33,0.5,0.3,6,0.6400976923664656
211,6.0,1.972669e-06,0.23660621948436353,0.33,0.5,0.3,6,1.1222296912013228
212,106.0,1.4e-08,1.0,0.33,0.5,0.3,6,2.311700537674646
213,1.0,1.67301e-06,0.6692492910401902,0.33,0.5,0.3,7,0.4239619562882303
214,4.0,1.963804e-06,0.2656705421174159,0.33,0.5,0.3,7,0.7308741773020843
215,6.0,2.489833e-06,0.2380243976202419,0.33,0.5,0.3,7,1.1262121932691644
216,14.0,3.535e-07,0.22338613861386142,0.33,0.5,0.3,7,1.7410393698089892
217,1.0,1.449121e-06,0.7788231351851685,0.33,0.5,0.3,8,0.4162989453470322
218,4.0,1.699721e-06,0.21813069321376852,0.33,0.5,0.3,8,0.7254774937471926
219,8.0,1.660614e-06,0.25706636220096907,0.33,0.5,0.3,8,1.3578905708312654
220,9.0,1.619649e-06,0.2316205548239155,0.33,0.5,0.3,8,0.8789629857450201
221,1.0,1.23878e-06,0.7679943359950294,0.33,0.5,0.3,9,0.43623486598212635
222,7.0,3.656223e-06,0.24649058344052716,0.33,0.5,0.3,9,0.7659102229316425
223,13.0,1.439336e-06,0.23367441653651397,0.33,0.5,0.3,9,1.316102810633253
224,3986570268.0,1.482728e-08,0.406288510801321,0.33,0.5,0.3,9,5.20424093944761
225,1.0,8.059387e-07,0.7755428111310865,0.33,0.5,0.3,10,0.3445937089039311
226,5.0,1.669969e-06,0.4384624933915937,0.33,0.5,0.3,10,0.5678183910605732
227,8.0,2.132099e-06,0.23712219742141427,0.33,0.5,0.3,10,0.895126218982791
228,10.0,1.333027e-06,0.2349284748170891,0.33,0.5,0.3,10,1.1911099451018115
229,13.0,4.361999e-07,0.2520770866751689,0.33,0.5,0.3,10,1.6072527391062152
230,1.0,7.842082e-07,0.4198866948692112,0.33,0.6,0.1,1,0.349708347413361
231,2.0,5.796768e-07,0.5449502624220947,0.33,0.6,0.1,1,0.45995977955970757
232,5.0,3.638845e-06,0.2942799901783111,0.33,0.6,0.1,1,0.7735252810376932
233,12.0,1.267064e-06,0.3834347833972054,0.33,0.6,0.1,1,1.5045604060362747
234,114.0,2.8e-08,0.297,0.33,0.6,0.1,1,1.8700770857743962
235,116.0,2.8e-08,0.297,0.33,0.6,0.1,1,2.404664276984669
236,140.0,2.8e-08,0.297,0.33,0.6,0.1,1,0.7688832256341156
237,3783228500.0,1.575368e-08,0.0,0.33,0.6,0.1,1,5.2025292738827185
238,2.0,2.324357e-06,0.40320939997128147,0.33,0.6,0.1,2,0.4571792103237553
