boundary,percentage,planet,a_center,mean_cmf,std_cmf,n_in_bin
0.7,0.25,Venus,0.723,0.2706631260062285,0.03321449318739487,25
0.7,0.25,Earth,1.0,0.2698758279806032,0.031537770656883624,19
0.7,0.25,Mars,1.52,0.26556856229988635,0.020565722436041087,16
0.7,0.3,Mercury,0.387,0.6797389270812589,0.09309232796271273,40
0.7,0.3,Venus,0.723,0.2592916394310904,0.037298360124269465,25
0.7,0.3,Earth,1.0,0.2560006506683348,0.03653627981275256,19
0.7,0.3,Mars,1.52,0.24835670474156796,0.019792218011097797,16
0.8,0.1,Mercury,0.387,0.3852034279578834,0.036639262140838735,40
0.8,0.1,Venus,0.723,0.3300969788354957,0.02385033305780375,25
0.8,0.1,Earth,1.0,0.32469836780962796,0.012357970805791318,19
0.8,0.1,Mars,1.52,0.3244064154165356,0.02893839522538083,16
0.8,0.15,Mercury,0.387,0.4113990763121542,0.04048910354199331,40
0.8,0.15,Venus,0.723,0.3302582307601938,0.028891766194110578,25
0.8,0.15,Earth,1.0,0.31661831081247804,0.014970550558003438,19
0.8,0.15,Mars,1.52,0.3104740090048223,0.0321265678379181,16
0.8,0.2,Mercury,0.387,0.43756376148990855,0.04465297172965176,40
0.8,0.2,Venus,0.723,0.33042944436108923,0.034510000696005426,25
0.8,0.2,Earth,1.0,0.3085363906063892,0.018083060245486997,19
0.8,0.2,Mars,1.52,0.2965416025931089,0.035690927905781364,16
0.8,0.25,Mercury,0.387,0.4638300440365553,0.04889550427744781,40
0.8,0.25,Venus,0.723,0.3306335045458698,0.04048936068545557,25
0.8,0.25,Earth,1.0,0.3004423123318321,0.021488887774004147,19
0.8,0.25,Mars,1.52,0.28261067368218307,0.039486981367275874,16
0.8,0.3,Mercury,0.387,0.4902002604317697,0.05321967146461873,40
0.8,0.3,Venus,0.723,0.3308751036897752,0.046672352642412075,25
0.8,0.3,Earth,1.0,0.292269536744801,0.025042651140433813,19
0.8,0.3,Mars,1.52,0.2687909285566169,0.043398051525534116,16
